"GradeCode";"Name";"Years"
7002;"Grado en Antropología Social y Cultural";4
6402;"Grado en Estudios Ingleses: Lengua, Literatura y Cultura";4
7001;"Grado en Filosofía";4
6701;"Grado en Geografía e Historia";4
6702;"Grado en Historia del Arte";4
6401;"Grado en Lengua y Literaturas Españolas";4
6101;"Grado en Ciencias Ambientales";4
6104;"Grado en Física";4
6102;"Grado en Matemáticas";4
6103;"Grado en Química";4
6201;"Grado en Psicología";4
6502;"Grado en Administración y Dirección de Empresas";4
6601;"Grado en CC. Jurídicas de las Administraciones Públicas";4
6901;"Grado en Ciencia Política y de la Administración";4
6604;"Grado en Criminología";2
6602;"Grado en Derecho";4
6501;"Grado en Economía";4
6301;"Grado en Educación Social";4
6302;"Grado en Pedagogía";4
6902;"Grado en Sociología";4
6603;"Grado en Trabajo Social";4
6503;"Grado en Turismo";4
6802;"Grado en Ing. En Electrónica Industrial y Automática";4
6801;"Grado en Ingeniería Eléctrica";4
7102;"Grado en Ingeniería en Tecnologías de la Información";4
6804;"Grado en Ingeniería en Tecnologías Industriales";4
7101;"Grado en Ingeniería Informática";4
6803;"Grado en Ingeniería Mecánica";4
